abbrev,player_count,link
UEFA,2369,https://fbref.com/en/country/players/NOR/Norway-Football-Players
AFC,173,https://fbref.com/en/country/players/OMA/Oman-Football-Players
AFC,139,https://fbref.com/en/country/players/PAK/Pakistan-Football-Players
AFC,225,https://fbref.com/en/country/players/PLE/Palestine-Football-Players
CONCACAF,323,https://fbref.com/en/country/players/PAN/Panama-Football-Players
OFC,91,https://fbref.com/en/country/players/PNG/Papua-New-Guinea-Football-Players
CONMEBOL,1403,https://fbref.com/en/country/players/PAR/Paraguay-Football-Players
CONMEBOL,1347,https://fbref.com/en/country/players/PER/Peru-Football-Players
AFC,229,https://fbref.com/en/country/players/PHI/Philippines-Football-Players
UEFA,2380,https://fbref.com/en/country/players/POL/Poland-Football-Players
UEFA,1843,https://fbref.com/en/country/players/POR/Portugal-Football-Players
CONCACAF,188,https://fbref.com/en/country/players/PUR/Puerto-Rico-Football-Players
AFC,212,https://fbref.com/en/country/players/QAT/Qatar-Football-Players
UEFA,968,https://fbref.com/en/country/players/IRL/Republic-of-Ireland-Football-Players
CAF,120,https://fbref.com/en/country/players/REU/Reunion-Football-Players
UEFA,2081,https://fbref.com/en/country/players/ROU/Romania-Football-Players
UEFA,2127,https://fbref.com/en/country/players/RUS/Russia-Football-Players
CAF,148,https://fbref.com/en/country/players/RWA/Rwanda-Football-Players
OFC,90,https://fbref.com/en/country/players/SAM/Samoa-Football-Players
UEFA,124,https://fbref.com/en/country/players/SMR/San-Marino-Football-Players
CAF,91,https://fbref.com/en/country/players/STP/Sao-Tome-e-Principe-Football-Players
AFC,1139,https://fbref.com/en/country/players/KSA/Saudi-Arabia-Football-Players
UEFA,2309,https://fbref.com/en/country/players/SCO/Scotland-Football-Players
CAF,712,https://fbref.com/en/country/players/SEN/Senegal-Football-Players
UEFA,2639,https://fbref.com/en/country/players/SRB/Serbia-Football-Players
FIFA,2,https://fbref.com/en/country/players/SCG/Serbia-and-Montenegro-Football-Players
CAF,137,https://fbref.com/en/country/players/SEY/Seychelles-Football-Players
CAF,173,https://fbref.com/en/country/players/SLE/Sierra-Leone-Football-Players
AFC,209,https://fbref.com/en/country/players/SIN/Singapore-Football-Players
CONCACAF,2,https://fbref.com/en/country/players/SMA/Sint-Maarten-Football-Players
UEFA,756,https://fbref.com/en/country/players/SVK/Slovakia-Football-Players
UEFA,523,https://fbref.com/en/country/players/SVN/Slovenia-Football-Players
OFC,97,https://fbref.com/en/country/players/SOL/Solomon-Islands-Football-Players
CAF,79,https://fbref.com/en/country/players/SOM/Somalia-Football-Players
CAF,1256,https://fbref.com/en/country/players/RSA/South-Africa-Football-Players
CAF,149,https://fbref.com/en/country/players/SSD/South-Sudan-Football-Players
